,Model Name,Price,Images
0,"REDMI NOTE 10 LITE (Champagne Gold, 64 GB)","₹16,990",https://rukminim1.flixcart.com/image/312/312/kv1a4cw0/mobile/d/f/x/note-10-lite-2109106a1i-redmi-original-imag8yv4dzqyenwt.jpeg?q=70
1,"vivo Y20i (Dawn White, 64 GB)","₹15,490",https://rukminim1.flixcart.com/image/312/312/kelptow0/mobile/8/f/e/vivo-y20i-v2027-original-imafv8x9hvshjskf.jpeg?q=70
2,"realme X3 SuperZoom (Arctic White, 256 GB)","₹34,999",https://rukminim1.flixcart.com/image/312/312/kbs9k7k0/mobile/w/4/r/realme-x3-superzoom-rmx2085-original-imaft26hvewk4dpj.jpeg?q=70
3,"realme GT NEO 3 (150W) (Asphalt Black, 256 GB)","₹42,999",https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/p/n/y/-original-imagduv5uxkgghrj.jpeg?q=70
4,"realme GT Neo 3 (Nitro Blue, 128 GB)","₹36,999",https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/q/o/o/-original-imagduv5znyyf6zm.jpeg?q=70
5,"realme GT Neo 3 (Sprint White, 128 GB)","₹36,999",https://rukminim1.flixcart.com/image/312/312/l2hwwi80/mobile/n/x/p/-original-imagdttkn3x3ufhm.jpeg?q=70
6,"realme C21 (Cross Black, 32 GB)","₹9,599",https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/mobile/q/j/x/c21-rmx3201-realme-original-imagfxfwbszrxkvu.jpeg?q=70
7,"OPPO A7 (Glaring Gold, 64 GB)","₹18,990",https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/p/4/u/a7-64-b-cph1901-oppo-3-original-imafbgvuc6vsgvwp.jpeg?q=70
8,"POCO M3 Pro 5G (Yellow, 128 GB)","₹16,499",https://rukminim1.flixcart.com/image/312/312/kpmy8i80/mobile/x/q/n/m3-pro-5g-mzb0956in-poco-original-imag3th5e4thsxjt.jpeg?q=70
9,"Infinix Smart 5A (Quetzal Cyan, 32 GB)","₹7,199",https://rukminim1.flixcart.com/image/312/312/krtjgcw0/mobile/g/g/m/smart-5a-x657c-infinix-original-imag5gnzyyzq668p.jpeg?q=70
10,"realme GT Neo 3 (Asphalt Black, 128 GB)","₹36,999",https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/p/n/y/-original-imagduv5uxkgghrj.jpeg?q=70
11,"OPPO A96 (Sunset Blue, 128 GB)","₹19,999",https://rukminim1.flixcart.com/image/312/312/l0zm64w0/mobile/a/f/6/-original-imagcnnaz48g4sjf.jpeg?q=70
12,"Infinix Smart 3 Plus (Sapphire Cyan, 32 GB)","₹7,999",https://rukminim1.flixcart.com/image/312/312/k5vcya80pkrrdj/mobile-refurbished/x/n/p/smart-3-plus-32-u-x627v-infinix-2-original-imafft7fdjwwtxtk.jpeg?q=70
13,"Infinix Smart 3 Plus (Mocha Brown, 32 GB)","₹7,999",https://rukminim1.flixcart.com/image/312/312/k5vcya80pkrrdj/mobile-refurbished/4/p/h/smart-3-plus-32-d-x627v-infinix-2-original-imafgaz7pf7amzbj.jpeg?q=70
14,"APPLE iPhone 11 (Purple, 64 GB)","₹43,000",https://rukminim1.flixcart.com/image/312/312/kgiaykw0/mobile/g/k/e/apple-iphone-11-mhdf3hn-a-original-imafwqepygpnkgez.jpeg?q=70
15,"SAMSUNG Galaxy A30s (Prism Crush White, 64 GB)","₹18,900",https://rukminim1.flixcart.com/image/312/312/k4vmxzk0/mobile/5/y/k/samsung-galaxy-a30s-sm-a307fzwvins-original-imafk8hxudftet9g.jpeg?q=70
16,"POCO M3 Pro 5G (Cool Blue, 64 GB)","₹14,499",https://rukminim1.flixcart.com/image/312/312/kpmy8i80/mobile/v/6/1/m3-pro-5g-mzb0954in-poco-original-imag3th5ggub6c3f.jpeg?q=70
17,"OPPO Reno2 F (Lake Green, 256 GB)","₹19,990",https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/x/9/r/reno2-f-128-a-cph1989-oppo-8-original-imafh2ctdbn9rbgk.jpeg?q=70
18,"realme 8i (Space Black, 128 GB)","₹16,049",https://rukminim1.flixcart.com/image/312/312/ktbu6q80/mobile/x/w/y/8i-rmx3151-realme-original-imag6zhnabagtrzu.jpeg?q=70
19,"OPPO A12 (Blue, 64 GB)","₹10,990",https://rukminim1.flixcart.com/image/312/312/kb1470w0/mobile/z/x/j/oppo-a12-cph2083-original-imafsh2hmjbxtvxy.jpeg?q=70
20,"realme C2 (Diamond Blue, 16 GB)","₹6,999",https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/h/n/p/c2-32-b-rmx1941-realme-2-original-imaffnumygt8wgfx.jpeg?q=70
21,"OPPO A7 (Glaze Blue, 64 GB)","₹16,990",https://rukminim1.flixcart.com/image/312/312/jql8fbk0/mobile/f/r/z/oppo-a7-cph1901-original-imafb5nhsfwh7xgm.jpeg?q=70
22,"APPLE iPhone 11 (Black, 128 GB)","₹48,000",https://rukminim1.flixcart.com/image/312/312/kgiaykw0/mobile/5/x/8/apple-iphone-11-mhdh3hn-a-original-imafwqepcdfxrmhn.jpeg?q=70
23,"Infinix Note 5 (Milan Black, 32 GB)","₹10,999",https://rukminim1.flixcart.com/image/312/312/jl41nrk0/mobile/b/w/a/infinix-note-5-x604-original-imaf8bdcmbdrggra.jpeg?q=70
